src,key1,key2,sortorder,firstbook,firstchapter,firstverse
"Hebrew","<PRWN=/","NA","pqtfn","Josua","15","9"
"Hebrew","<PR[","piel","pqt","Samuel_II","16","13"
"Hebrew","<QB/","NA","psb","Genesis","22","18"
"Hebrew","<QB=/","NA","psb","Genesis","3","15"
"Hebrew","<QB==/","NA","psb","Jesaia","40","4"
"Hebrew","<QBH/","NA","psbe","Reges_II","10","19"
"Hebrew","<QB[","qal","psb","Genesis","27","36"
"Hebrew","<QC/","NA","psu","Deuteronomium","32","5"
"Hebrew","<QC=/","NA","psu","Samuel_II","23","26"
"Hebrew","<QCWT/","NA","psufv","Proverbia","4","24"
"Hebrew","<QC[","nif","psu","Proverbia","28","18"
"Hebrew","<QD/","NA","psd","Genesis","30","35"
"Hebrew","<QD[","qal","psd","Genesis","22","9"
"Hebrew","<QH/","NA","pse","Psalmi","55","4"
"Hebrew","<QLQL/","NA","pslsl","Judices","5","6"
"Hebrew","<QLTWN/","NA","pslvfn","Jesaia","27","1"
"Hebrew","<QL[","pual","psl","Habakuk","1","4"
"Hebrew","<QN/","NA","psn","Genesis","36","27"
"Hebrew","<QR/","NA","pst","Genesis","11","30"
"Hebrew","<QR=/","NA","pst","Leviticus","25","47"
"Hebrew","<QR==/","NA","pst","Chronica_I","2","27"
"Hebrew","<QRB/","NA","pstb","Deuteronomium","8","15"
"Hebrew","<QRWN/","NA","pstfn","Josua","13","3"
"Hebrew","<QRWNJ/","NA","pstfnj","Josua","13","3"
"Hebrew","<QR[","qal","pst","Ecclesiastes","3","2"
"Hebrew","<QWB/","NA","psfb","Esra","2","42"
"Hebrew","<R/","NA","pt","Samuel_I","28","16"
"Hebrew","<R<R/","NA","ptpt","Jeremia","17","6"
"Hebrew","<R<RJ/","NA","ptptj","Chronica_I","11","44"
"Hebrew","<R<WR/","NA","ptpft","Judices","11","26"
"Hebrew","<R=/","NA","pt","Genesis","38","3"
"Hebrew","<R==/","NA","pt","Numeri","21","15"
"Hebrew","<RB/","NA","ptb","Genesis","1","5"
"Hebrew","<RB=/","NA","ptb","Exodus","8","17"
"Hebrew","<RB==/","NA","ptb","Leviticus","13","48"
"Hebrew","<RB===/","NA","ptb","Genesis","8","7"
"Hebrew","<RB====/","NA","ptb","Exodus","12","38"
"Hebrew","<RB=====/","NA","ptb","Jesaia","21","13"
"Hebrew","<RB======/","NA","ptb","Judices","7","25"
"Hebrew","<RB=======/","NA","ptb","Proverbia","20","17"
"Hebrew","<RB========/","NA","ptb","Reges_I","10","15"
"Hebrew","<RB===[","qal","ptb","Jeremia","6","20"
"Hebrew","<RB==[","hit","ptb","Psalmi","106","35"
"Hebrew","<RB=[","qal","ptb","Judices","19","9"
"Hebrew","<RBH/","NA","ptbe","Numeri","22","1"
"Hebrew","<RBH=/","NA","ptbe","Leviticus","23","40"
"Hebrew","<RBH==/","NA","ptbe","Samuel_I","17","18"
"Hebrew","<RBJ/","NA","ptbj","Nehemia","2","19"
"Hebrew","<RBJ=/","NA","ptbj","Jesaia","13","20"
"Hebrew","<RBTJ/","NA","ptbvj","Samuel_II","23","31"
"Hebrew","<RBWN/","NA","ptbfn","Genesis","38","17"
"Hebrew","<RB[","qal","ptb","Genesis","43","9"
"Hebrew","<RD/","NA","ptd","Numeri","21","1"
"Hebrew","<RD=/","NA","ptd","Chronica_I","8","15"
"Hebrew","<RF/","NA","ptu","Deuteronomium","3","11"
"Hebrew","<RG[","qal","ptc","Joel","1","20"
"Hebrew","<RH/","NA","pte","Jesaia","19","7"
"Hebrew","<RH[","nif","pte","Jesaia","32","15"
"Hebrew","<RJ/","NA","ptj","Numeri","26","16"
